+--------------+----------------------+
|     Gene     | Number of Variations |
|  NR_168348   |          0           |
|  NR_168347   |          0           |
|  NR_168346   |          0           |
|  NR_168328   |          0           |
|  NR_168321   |          0           |
|  NR_168320   |          0           |
|  NR_168319   |          0           |
|  NR_168264   |          0           |
|  NR_168263   |          0           |
|  NR_168073   |          0           |
|  NR_168072   |          0           |
|  NR_168071   |          0           |
|  NR_168070   |          0           |
|  NR_168005   |          0           |
|  NR_167995   |          0           |
|  NR_167994   |          0           |
|  NR_167993   |          0           |
|  NR_167992   |          0           |
|  NR_167991   |          0           |
|  NR_167990   |          0           |
|  NR_167989   |          0           |
|  NR_167983   |          0           |
|  NR_167982   |          0           |
|  NR_167931   |          0           |
|  NR_167930   |          0           |
|  NR_167910   |          0           |
|  NR_167909   |          0           |
|  NR_167908   |          0           |
|  NR_167907   |          0           |
|  NR_167906   |          0           |
|  NR_167905   |          0           |
|  NR_167904   |          0           |
|  NR_167903   |          0           |
|  NR_167902   |          0           |
|  NR_167901   |          0           |
|  NR_167894   |          0           |
|  NR_166514   |          0           |
|  NR_166123   |          0           |
|  NR_166122   |          0           |
|  NR_166121   |          0           |
|  NR_165627   |          0           |
|  NR_165455   |          0           |
|  NR_165303   |          0           |
|  NR_165299   |          0           |
|  NR_165250   |          0           |
|  NR_165031   |          0           |
|  NR_164851   |          0           |
|  NR_164850   |          0           |
|  NR_164777   |          0           |
|  NR_164776   |          0           |
|  NR_164775   |          0           |
|  NR_164760   |          0           |
|  NR_164759   |          0           |
|  NR_164758   |          0           |
|  NR_164652   |          0           |
|  NR_164651   |          0           |
|  NR_164636   |          0           |
|  NR_163271   |          0           |
|  NR_162149   |          0           |
|  NR_162147   |          0           |
|  NR_162146   |          0           |
|  NR_162130   |          0           |
|  NR_162120   |          0           |
|  NR_162097   |          0           |
|  NR_161259   |          0           |
|  NR_160944   |          0           |
|  NR_160943   |          0           |
|  NR_160942   |          0           |
|  NR_160941   |          0           |
|  NR_160940   |          0           |
|  NR_160915   |          0           |
|  NR_160914   |          0           |
|  NR_160913   |          0           |
|  NR_160784   |          0           |
|  NR_160783   |          0           |
|  NR_160782   |          0           |
|  NR_160781   |          0           |
|  NR_160780   |          0           |
|  NR_160779   |          0           |
|  NR_160748   |          0           |
|  NR_160747   |          0           |
|  NR_160746   |          0           |
|  NR_160737   |          0           |
|  NR_160658   |          0           |
|  NR_160657   |          0           |
|  NR_160550   |          0           |
|  NR_160534   |          0           |
|  NR_160533   |          0           |
|  NR_160532   |          0           |
|  NR_160531   |          0           |
|  NR_160530   |          0           |
|  NR_160529   |          0           |
|  NR_160528   |          0           |
|  NR_160510   |          0           |
|  NR_160309   |          0           |
|  NR_160266   |          0           |
|  NR_159454   |          0           |
|  NR_159391   |          0           |
|  NR_159390   |          0           |
|  NR_159389   |          0           |
|  NR_159388   |          0           |
|  NR_159387   |          0           |
|  NR_159386   |          0           |
|  NR_159385   |          0           |
|  NR_159384   |          0           |
|  NR_159383   |          0           |
|  NR_159382   |          0           |
|  NR_159380   |          0           |
|  NR_159379   |          0           |
|  NR_159378   |          0           |
|  NR_158981   |          0           |
|  NR_158969   |          0           |
|  NR_158782   |          0           |
|  NR_158781   |          0           |
|  NR_158780   |          0           |
|  NR_158779   |          0           |
|  NR_158778   |          0           |
|  NR_158777   |          0           |
|  NR_158776   |          0           |
|  NR_158775   |          0           |
|  NR_158774   |          0           |
|  NR_158773   |          0           |
|  NR_158772   |          0           |
|  NR_158771   |          0           |
|  NR_158763   |          0           |
|  NR_158762   |          0           |
|  NR_158631   |          0           |
|  NR_158630   |          0           |
|  NR_158629   |          0           |
|  NR_158628   |          0           |
|  NR_158169   |          0           |
|  NR_158166   |          0           |
|  NR_157260   |          0           |
|  NR_157049   |          0           |
|  NR_156734   |          0           |
|  NR_156691   |          0           |
|  NR_156690   |          0           |
|  NR_156689   |          0           |
|  NR_153418   |          0           |
|  NR_152846   |          0           |
|  NR_152721   |          0           |
|  NR_152534   |          0           |
|  NR_152533   |          0           |
|  NR_152532   |          0           |
|  NR_152531   |          0           |
|  NR_152530   |          0           |
|  NR_152529   |          0           |
|  NR_152528   |          0           |
|  NR_152527   |          0           |
|  NR_152526   |          0           |
|  NR_152525   |          0           |
|  NR_152524   |          0           |
|  NR_152523   |          0           |
|  NR_152522   |          0           |
|  NR_152521   |          0           |
|  NR_152414   |          0           |
|  NR_152413   |          0           |
|  NR_152412   |          0           |
|  NR_152411   |          0           |
|  NR_151722   |          0           |
|  NR_151721   |          0           |
|  NR_151492   |          0           |
|  NR_151489   |          0           |
|  NR_151488   |          0           |
|  NR_151487   |          0           |
|  NR_151486   |          0           |
|  NR_151485   |          0           |
|  NR_151484   |          0           |
|  NR_151483   |          0           |
|  NR_149353   |          0           |
|  NR_149313   |          0           |
|  NR_149312   |          0           |
|  NR_149059   |          0           |
|  NR_149058   |          0           |
|  NR_149057   |          0           |
|  NR_149050   |          0           |
|  NR_149049   |          0           |
|  NR_149048   |          0           |
|  NR_148994   |          0           |
|  NR_148965   |          0           |
|  NR_148962   |          0           |
|  NR_148960   |          0           |
|  NR_148945   |          0           |
|  NR_148934   |          0           |
|  NR_148933   |          0           |
|  NR_148919   |          0           |
|  NR_148918   |          0           |
|  NR_148414   |          0           |
|  NR_148413   |          0           |
|  NR_147964   |          0           |
|  NR_147963   |          0           |
|  NR_147951   |          0           |
|  NR_147932   |          0           |
|  NR_147931   |          0           |
|  NR_147930   |          0           |
|  NR_147855   |          0           |
|  NR_147618   |          0           |
|  NR_147502   |          0           |
|  NR_147211   |          0           |
|  NR_147210   |          0           |
|  NR_147182   |          0           |
|  NR_147165   |          0           |
|  NR_147164   |          0           |
|  NR_147163   |          0           |
|  NR_147162   |          0           |
|  NR_147161   |          0           |
|  NR_147125   |          0           |
|  NR_147124   |          0           |
|  NR_147123   |          0           |
|  NR_147122   |          0           |
|  NR_147076   |          0           |
|  NR_147024   |          0           |
|  NR_146931   |          0           |
|  NR_146930   |          0           |
|  NR_146922   |          0           |
|  NR_146920   |          0           |
|  NR_146917   |          0           |
|  NR_146915   |          0           |
|  NR_146914   |          0           |
|  NR_146908   |          0           |
|  NR_146907   |          0           |
|  NR_146895   |          0           |
|  NR_146892   |          0           |
|  NR_146890   |          0           |
|  NR_146883   |          0           |
|  NR_146882   |          0           |
|  NR_146769   |          0           |
|  NR_146768   |          0           |
|  NR_146767   |          0           |
|  NR_146766   |          0           |
|  NR_146761   |          0           |
|  NR_146760   |          0           |
|  NR_146732   |          0           |
|  NR_146731   |          0           |
|  NR_146730   |          0           |
|  NR_146723   |          0           |
|  NR_146722   |          0           |
|  NR_146649   |          0           |
|  NR_146648   |          0           |
|  NR_146629   |          0           |
|  NR_146610   |          0           |
|  NR_146609   |          0           |
|  NR_146607   |          0           |
|  NR_146606   |          0           |
|  NR_146605   |          0           |
|  NR_146548   |          0           |
|  NR_146540   |          0           |
|  NR_146539   |          0           |
|  NR_146512   |          0           |
|  NR_146508   |          0           |
|  NR_146491   |          0           |
|  NR_146489   |          0           |
|  NR_146486   |          0           |
|  NR_146479   |          0           |
|  NR_146478   |          0           |
|  NR_146476   |          0           |
|  NR_146475   |          0           |
|  NR_146474   |          0           |
|  NR_146473   |          0           |
|  NR_146472   |          0           |
|  NR_146443   |          0           |
|  NR_146434   |          0           |
|  NR_146433   |          0           |
|  NR_146432   |          0           |
|  NR_146387   |          0           |
|  NR_146386   |          0           |
|  NR_146385   |          0           |
|  NR_146384   |          0           |
|  NR_146383   |          0           |
|  NR_146382   |          0           |
|  NR_146381   |          0           |
|  NR_146345   |          0           |
|  NR_146344   |          0           |
|  NR_146343   |          0           |
|  NR_146342   |          0           |
|  NR_146341   |          0           |
|  NR_146340   |          0           |
|  NR_146333   |          0           |
|  NR_146324   |          0           |
|  NR_146308   |          0           |
|  NR_146307   |          0           |
|  NR_146306   |          0           |
|  NR_146305   |          0           |
|  NR_146304   |          0           |
|  NR_146303   |          0           |
|  NR_146302   |          0           |
|  NR_146301   |          0           |
|  NR_146300   |          0           |
|  NR_146293   |          0           |
|  NR_146292   |          0           |
|  NR_146290   |          0           |
|  NR_146289   |          0           |
|  NR_146288   |          0           |
|  NR_146287   |          0           |
|  NR_146286   |          0           |
|  NR_146285   |          0           |
|  NR_146283   |          0           |
|  NR_146275   |          0           |
|  NR_146232   |          0           |
|  NR_146215   |          0           |
|  NR_146214   |          0           |
|  NR_146213   |          0           |
|  NR_146212   |          0           |
|  NR_146204   |          0           |
|  NR_146203   |          0           |
|  NR_146202   |          0           |
|  NR_146201   |          0           |
|  NR_146200   |          0           |
|  NR_146199   |          0           |
|  NR_146185   |          0           |
|  NR_146184   |          0           |
|  NR_146183   |          0           |
|  NR_146087   |          0           |
|  NR_146064   |          0           |
|  NR_146062   |          0           |
|  NR_146058   |          0           |
|  NR_146057   |          0           |
|  NR_145826   |          0           |
|  NR_145816   |          0           |
|  NR_145806   |          0           |
|  NR_145793   |          0           |
|  NR_145769   |          0           |
|  NR_145745   |          0           |
|  NR_145742   |          0           |
|  NR_145725   |          0           |
|  NR_145714   |          0           |
|  NR_145510   |          0           |
|  NR_145481   |          0           |
|  NR_145471   |          0           |
|  NR_145442   |          0           |
|  NR_145438   |          0           |
|  NR_145430   |          0           |
|  NR_145426   |          0           |
|  NR_145425   |          0           |
|  NR_145424   |          0           |
|  NR_144937   |          0           |
|  NR_144517   |          0           |
|  NR_144516   |          0           |
|  NR_144513   |          0           |
|  NR_144512   |          0           |
|  NR_144492   |          0           |
|  NR_144491   |          0           |
|  NR_144490   |          0           |
|  NR_144369   |          0           |
|  NR_144360   |          0           |
|  NR_144357   |          0           |
|  NR_144356   |          0           |
|  NR_144355   |          0           |
|  NR_144354   |          0           |
|  NR_144349   |          0           |
|  NR_144320   |          0           |
|  NR_138485   |          0           |
|  NR_138484   |          0           |
|  NR_138483   |          0           |
|  NR_138250   |          0           |
|  NR_138086   |          0           |
|  NR_138028   |          0           |
|  NR_138027   |          0           |
|  NR_138026   |          0           |
|  NR_138025   |          0           |
|  NR_138024   |          0           |
|  NR_137329   |          0           |
|  NR_136703   |          0           |
|  NR_136702   |          0           |
|  NR_136693   |          0           |
|  NR_136692   |          0           |
|  NR_136691   |          0           |
|  NR_136636   |          0           |
|  NR_136635   |          0           |
|  NR_136634   |          0           |
|  NR_136633   |          0           |
|  NR_136623   |          0           |
|  NR_136592   |          0           |
|  NR_136591   |          0           |
|  NR_136590   |          0           |
|  NR_136586   |          0           |
|  NR_136568   |          0           |
|  NR_136567   |          0           |
|  NR_136566   |          0           |
|  NR_136565   |          0           |
|  NR_136564   |          0           |
|  NR_136534   |          0           |
|  NR_136533   |          0           |
|  NR_136532   |          0           |
|  NR_136531   |          0           |
|  NR_136530   |          0           |
|  NR_136328   |          0           |
|  NR_136243   |          0           |
|  NR_136242   |          0           |
|  NR_135838   |          0           |
|  NR_135837   |          0           |
|  NR_135824   |          0           |
|  NR_135822   |          0           |
|  NR_135817   |          0           |
|  NR_135813   |          0           |
|  NR_135805   |          0           |
|  NR_135804   |          0           |
|  NR_135799   |          0           |
|  NR_135793   |          0           |
|  NR_135792   |          0           |
|  NR_135791   |          0           |
|  NR_135790   |          0           |
|  NR_135789   |          0           |
|  NR_135788   |          0           |
|  NR_135787   |          0           |
|  NR_135786   |          0           |
|  NR_135785   |          0           |
|  NR_135784   |          0           |
|  NR_135783   |          0           |
|  NR_135782   |          0           |
|  NR_135781   |          0           |
|  NR_135780   |          0           |
|  NR_135778   |          0           |
|  NR_135777   |          0           |
|  NR_135765   |          0           |
|  NR_135764   |          0           |
|  NR_135641   |          0           |
|  NR_135640   |          0           |
|  NR_135615   |          0           |
|  NR_135613   |          0           |
|  NR_135595   |          0           |
|  NR_135588   |          0           |
|  NR_135559   |          0           |
|  NR_135509   |          0           |
|  NR_135299   |          0           |
|  NR_135298   |          0           |
|  NR_135268   |          0           |
|  NR_135267   |          0           |
|  NR_135266   |          0           |
|  NR_135265   |          0           |
|  NR_135264   |          0           |
|  NR_135263   |          0           |
|  NR_135262   |          0           |
|  NR_135261   |          0           |
|  NR_135260   |          0           |
|  NR_135217   |          0           |
|  NR_135216   |          0           |
|  NR_135215   |          0           |
|  NR_135214   |          0           |
|  NR_135199   |          0           |
|  NR_135186   |          0           |
|  NR_135169   |          0           |
|  NR_135162   |          0           |
|  NR_135161   |          0           |
|  NR_135160   |          0           |
|  NR_135157   |          0           |
|  NR_135156   |          0           |
|  NR_135154   |          0           |
|  NR_135153   |          0           |
|  NR_135144   |          0           |
|  NR_135143   |          0           |
|  NR_135118   |          0           |
|  NR_135116   |          0           |
|  NR_135113   |          0           |
|  NR_135111   |          0           |
|  NR_135107   |          0           |
|  NR_135106   |          0           |
|  NR_135092   |          0           |
|  NR_135089   |          0           |
|  NR_135085   |          0           |
|  NR_135078   |          0           |
|  NR_135075   |          0           |
|  NR_135074   |          0           |
|  NR_135063   |          0           |
|  NR_135062   |          0           |
|  NR_135061   |          0           |
|  NR_135059   |          0           |
|  NR_135058   |          0           |
|  NR_135057   |          0           |
|  NR_135056   |          0           |
|  NR_135054   |          0           |
|  NR_135048   |          0           |
|  NR_135038   |          0           |
|  NR_135035   |          0           |
|  NR_135034   |          0           |
|  NR_135008   |          0           |
|  NR_135007   |          0           |
|  NR_134994   |          0           |
|  NR_134993   |          0           |
|  NR_134992   |          0           |
|  NR_134991   |          0           |
|  NR_134990   |          0           |
|  NR_134989   |          0           |
|  NR_134988   |          0           |
|  NR_134982   |          0           |
|  NR_134981   |          0           |
|  NR_134980   |          0           |
|  NR_134976   |          0           |
|  NR_134511   |          0           |
|  NR_134510   |          0           |
|  NR_134509   |          0           |
|  NR_134239   |          0           |
|  NR_133654   |          0           |
|  NR_133653   |          0           |
|  NR_133645   |          0           |
|  NR_133636   |          0           |
|  NR_133635   |          0           |
|  NR_133634   |          0           |
|  NR_133633   |          0           |
|  NR_133632   |          0           |
|  NR_133055   |          0           |
|  NR_132966   |          0           |
|  NR_132962   |          0           |
|  NR_132786   |          0           |
|  NR_132783   |          0           |
|  NR_132782   |          0           |
|  NR_132767   |          0           |
|  NR_132762   |          0           |
|  NR_132752   |          0           |
|  NR_132742   |          0           |
|  NR_132740   |          0           |
|  NR_132739   |          0           |
|  NR_132737   |          0           |
|  NR_132421   |          0           |
|  NR_132420   |          0           |
|  NR_132419   |          0           |
|  NR_132415   |          0           |
|  NR_132414   |          0           |
|  NR_132413   |          0           |
|  NR_132412   |          0           |
|  NR_132410   |          0           |
|  NR_132409   |          0           |
|  NR_132408   |          0           |
|  NR_132407   |          0           |
|  NR_132406   |          0           |
|  NR_132405   |          0           |
|  NR_132404   |          0           |
|  NR_132403   |          0           |
|  NR_132402   |          0           |
|  NR_132401   |          0           |
|  NR_132119   |          0           |
|  NR_131972   |          0           |
|  NR_131925   |          0           |
|  NR_131032   |          0           |
|  NR_130975   |          0           |
|  NR_130913   |          0           |
|  NR_130900   |          0           |
|  NR_130899   |          0           |
|  NR_130897   |          0           |
|  NR_130896   |          0           |
|  NR_130749   |          0           |
|  NR_130746   |          0           |
|  NR_130464   |          0           |
|  NR_130152   |          0           |
|  NR_130135   |          0           |
|  NR_130132   |          0           |
|  NR_130131   |          0           |
|  NR_130130   |          0           |
|  NR_128720   |          0           |
|  NR_126565   |          0           |
|  NR_126441   |          0           |
|  NR_126408   |          0           |
|  NR_126385   |          0           |
|  NR_126368   |          0           |
|  NR_126367   |          0           |
|  NR_126366   |          0           |
|  NR_126355   |          0           |
|  NR_126098   |          0           |
|  NR_126031   |          0           |
|  NR_126003   |          0           |
|  NR_126001   |          0           |
|  NR_126000   |          0           |
|  NR_125999   |          0           |
|  NR_125998   |          0           |
|  NR_125997   |          0           |
|  NR_125996   |          0           |
|  NR_125995   |          0           |
|  NR_125994   |          0           |
|  NR_125993   |          0           |
|  NR_125992   |          0           |
|  NR_125991   |          0           |
|  NR_125989   |          0           |
|  NR_125988   |          0           |
|  NR_125987   |          0           |
|  NR_125986   |          0           |
|  NR_125984   |          0           |
|  NR_125983   |          0           |
|  NR_125982   |          0           |
|  NR_125979   |          0           |
|  NR_125973   |          0           |
|  NR_125972   |          0           |
|  NR_125970   |          0           |
|  NR_125969   |          0           |
|  NR_125968   |          0           |
|  NR_125967   |          0           |
|  NR_125966   |          0           |
|  NR_125964   |          0           |
|  NR_125963   |          0           |
|  NR_125962   |          0           |
|  NR_125961   |          0           |
|  NR_125960   |          0           |
|  NR_125958   |          0           |
|  NR_125957   |          0           |
|  NR_125956   |          0           |
|  NR_125955   |          0           |
|  NR_125954   |          0           |
|  NR_125953   |          0           |
|  NR_125952   |          0           |
|  NR_125951   |          0           |
|  NR_125950   |          0           |
|  NR_125949   |          0           |
|  NR_125948   |          0           |
|  NR_125947   |          0           |
|  NR_125946   |          0           |
|  NR_125945   |          0           |
|  NR_125944   |          0           |
|  NR_125943   |          0           |
|  NR_125942   |          0           |
|  NR_125801   |          0           |
|  NR_125784   |          0           |
|  NR_125761   |          0           |
|  NR_125730   |          0           |
|  NR_125715   |          0           |
|  NR_125440   |          0           |
|  NR_125392   |          0           |
|  NR_125374   |          0           |
|  NR_125361   |          0           |
|  NR_125358   |          0           |
|  NR_125356   |          0           |
|  NR_125352   |          0           |
|  NR_125340   |          0           |
|  NR_125338   |          0           |
|  NR_125335   |          0           |
|  NR_125333   |          0           |
|  NR_125331   |          0           |
|  NR_123739   |          0           |
|  NR_123731   |          0           |
|  NR_123725   |          0           |
|  NR_123718   |          0           |
|  NR_122045   |          0           |
|  NR_121680   |          0           |
|  NR_121645   |          0           |
|  NR_121638   |          0           |
|  NR_121637   |          0           |
|  NR_121636   |          0           |
|  NR_121635   |          0           |
|  NR_121634   |          0           |
|  NR_121626   |          0           |
|  NR_121197   |          0           |
|  NR_121196   |          0           |
|  NR_120535   |          0           |
|  NR_120331   |          0           |
|  NR_119383   |          0           |
|  NR_119375   |          0           |
|  NR_119374   |          0           |
|  NR_117098   |          0           |
|  NR_117097   |          0           |
|  NR_111987   |          0           |
|  NR_111958   |          0           |
|  NR_111957   |          0           |
|  NR_111956   |          0           |
|  NR_111955   |          0           |
|  NR_111954   |          0           |
|  NR_111953   |          0           |
|  NR_111952   |          0           |
|  NR_111951   |          0           |
|  NR_111950   |          0           |
|  NR_111947   |          0           |
|  NR_111945   |          0           |
|  NR_111940   |          0           |
|  NR_111939   |          0           |
|  NR_111936   |          0           |
|  NR_111933   |          0           |
|  NR_111907   |          0           |
|  NR_110864   |          0           |
|  NR_110811   |          0           |
|  NR_110799   |          0           |
|  NR_110797   |          0           |
|  NR_110794   |          0           |
|  NR_110793   |          0           |
|  NR_110790   |          0           |
|  NR_110786   |          0           |
|  NR_110761   |          0           |
|  NR_110758   |          0           |
|  NR_110726   |          0           |
|  NR_110725   |          0           |
|  NR_110717   |          0           |
|  NR_110716   |          0           |
|  NR_110699   |          0           |
|  NR_110698   |          0           |
|  NR_110695   |          0           |
|  NR_110693   |          0           |
|  NR_110692   |          0           |
|  NR_110685   |          0           |
|  NR_110683   |          0           |
|  NR_110682   |          0           |
|  NR_110681   |          0           |
|  NR_110677   |          0           |
|  NR_110676   |          0           |
|  NR_110669   |          0           |
|  NR_110666   |          0           |
|  NR_110665   |          0           |
|  NR_110633   |          0           |
|  NR_110632   |          0           |
|  NR_110628   |          0           |
|  NR_110627   |          0           |
|  NR_110622   |          0           |
|  NR_110621   |          0           |
|  NR_110618   |          0           |
|  NR_110617   |          0           |
|  NR_110616   |          0           |
|  NR_110614   |          0           |
|  NR_110613   |          0           |
|  NR_110525   |          0           |
|  NR_110451   |          0           |
|  NR_110435   |          0           |
|  NR_110434   |          0           |
|  NR_110212   |          0           |
|  NR_110211   |          0           |
|  NR_110210   |          0           |
|  NR_110078   |          0           |
|  NR_110056   |          0           |
|  NR_109927   |          0           |
|  NR_109921   |          0           |
|  NR_109920   |          0           |
|  NR_109896   |          0           |
|  NR_109871   |          0           |
|  NR_109858   |          0           |
|  NR_109846   |          0           |
|  NR_109845   |          0           |
|  NR_109781   |          0           |
|  NR_109762   |          0           |
|  NR_109761   |          0           |
|  NR_109760   |          0           |
|  NR_109759   |          0           |
|  NR_109754   |          0           |
|  NR_108042   |          0           |
|  NR_107063   |          0           |
|  NR_107062   |          0           |
|  NR_107050   |          0           |
|  NR_107010   |          0           |
|  NR_107006   |          0           |
|  NR_107000   |          0           |
|  NR_106978   |          0           |
|  NR_106967   |          0           |
|  NR_106938   |          0           |
|  NR_106919   |          0           |
|  NR_106918   |          0           |
|  NR_106866   |          0           |
|  NR_106800   |          0           |
|  NR_106799   |          0           |
|  NR_106798   |          0           |
|  NR_106797   |          0           |
|  NR_106796   |          0           |
|  NR_106795   |          0           |
|  NR_106794   |          0           |
|  NR_106793   |          0           |
|  NR_106792   |          0           |
|  NR_106791   |          0           |
|  NR_106790   |          0           |
|  NR_106789   |          0           |
|  NR_106788   |          0           |
|  NR_106787   |          0           |
|  NR_106786   |          0           |
|  NR_106785   |          0           |
|  NR_106784   |          0           |
|  NR_106754   |          0           |
|  NR_106742   |          0           |
|  NR_106732   |          0           |
|  NR_106727   |          0           |
|  NR_106716   |          0           |
|  NR_104626   |          0           |
|  NR_104624   |          0           |
|  NR_104623   |          0           |
|  NR_104622   |          0           |
|  NR_104621   |          0           |
|  NR_104412   |          0           |
|  NR_104411   |          0           |
|  NR_104408   |          0           |
|  NR_104401   |          0           |
|  NR_104400   |          0           |
|  NR_104399   |          0           |
|  NR_104365   |          0           |
|  NR_104364   |          0           |
|  NR_104363   |          0           |
|  NR_104362   |          0           |
|  NR_104294   |          0           |
|  NR_104229   |          0           |
|  NR_104217   |          0           |
|  NR_104214   |          0           |
|  NR_104189   |          0           |
|  NR_104180   |          0           |
|  NR_104175   |          0           |
|  NR_104171   |          0           |
|  NR_104150   |          0           |
|  NR_104133   |          0           |
|  NR_104131   |          0           |
|  NR_104091   |          0           |
|  NR_104088   |          0           |
|  NR_104086   |          0           |
|  NR_104085   |          0           |
|  NR_104084   |          0           |
|  NR_104082   |          0           |
|  NR_104081   |          0           |
|  NR_104080   |          0           |
|  NR_104078   |          0           |
|  NR_104076   |          0           |
|  NR_104075   |          0           |
|  NR_104073   |          0           |
|  NR_104034   |          0           |
|  NR_104033   |          0           |
|  NR_104014   |          0           |
|  NR_103871   |          0           |
|  NR_103870   |          0           |
|  NR_103845   |          0           |
|  NR_103784   |          0           |
|  NR_103783   |          0           |
|  NR_103779   |          0           |
|  NR_103777   |          0           |
|  NR_103776   |          0           |
|  NR_103757   |          0           |
|  NR_103746   |          0           |
|  NR_103561   |          0           |
|  NR_103541   |          0           |
|  NR_103540   |          0           |
|  NR_103539   |          0           |
|  NR_103536   |          0           |
|  NR_103535   |          0           |
|  NR_103534   |          0           |
|  NR_103486   |          0           |
|  NR_103484   |          0           |
|  NR_103483   |          0           |
|  NR_103478   |          0           |
|  NR_103466   |          0           |
|  NR_103461   |          0           |
|  NR_103460   |          0           |
|  NR_103459   |          0           |
|  NR_102733   |          0           |
|  NR_102732   |          0           |
|  NR_102697   |          0           |
|  NR_102436   |          0           |
|  NR_102347   |          0           |
|  NR_077246   |          0           |
|  NR_077244   |          0           |
|  NR_075077   |          0           |
|  NR_073610   |          0           |
|  NR_073562   |          0           |
|  NR_073553   |          0           |
|  NR_073493   |          0           |
|  NR_073492   |          0           |
|  NR_073491   |          0           |
|  NR_073400   |          0           |
|  NR_073155   |          0           |
|  NR_073154   |          0           |
|  NR_073098   |          0           |
|  NR_073097   |          0           |
|  NR_073092   |          0           |
|  NR_073091   |          0           |
|  NR_073090   |          0           |
|  NR_073080   |          0           |
|  NR_073074   |          0           |
|  NR_073071   |          0           |
|  NR_052852   |          0           |
|  NR_052021   |          0           |
|  NR_052020   |          0           |
|  NR_052019   |          0           |
|  NR_051960   |          0           |
|  NR_049883   |          0           |
|  NR_049882   |          0           |
|  NR_049854   |          0           |
|  NR_049850   |          0           |
|  NR_049849   |          0           |
|  NR_049844   |          0           |
|  NR_049823   |          0           |
|  NR_049819   |          0           |
|  NR_049810   |          0           |
|  NR_049806   |          0           |
|  NR_049777   |          0           |
|  NR_049760   |          0           |
|  NR_049742   |          0           |
|  NR_049741   |          0           |
|  NR_048579   |          0           |
|  NR_048578   |          0           |
|  NR_048577   |          0           |
|  NR_048570   |          0           |
|  NR_048550   |          0           |
|  NR_048548   |          0           |
|  NR_047648   |          0           |
|  NR_047498   |          0           |
|  NR_046901   |          0           |
|  NR_046845   |          0           |
|  NR_046839   |          0           |
|  NR_046817   |          0           |
|  NR_046784   |          0           |
|  NR_046783   |          0           |
|  NR_046780   |          0           |
|  NR_046744   |          0           |
|  NR_046696   |          0           |
|  NR_046659   |          0           |
|  NR_046619   |          0           |
|  NR_046600   |          0           |
|  NR_046591   |          0           |
|  NR_046590   |          0           |
|  NR_046582   |          0           |
|  NR_046546   |          0           |
|  NR_046507   |          0           |
|  NR_046474   |          0           |
|  NR_046437   |          0           |
|  NR_046427   |          0           |
|  NR_046406   |          0           |
|  NR_046405   |          0           |
|  NR_046395   |          0           |
|  NR_046329   |          0           |
|  NR_046327   |          0           |
|  NR_046326   |          0           |
|  NR_046325   |          0           |
|  NR_046295   |          0           |
|  NR_046294   |          0           |
|  NR_046293   |          0           |
|  NR_046292   |          0           |
|  NR_046268   |          0           |
|  NR_046249   |          0           |
|  NR_046228   |          0           |
|  NR_046218   |          0           |
|  NR_046213   |          0           |
|  NR_046189   |          0           |
|  NR_046188   |          0           |
|  NR_046176   |          0           |
|  NR_046117   |          0           |
|  NR_046105   |          0           |
|  NR_046098   |          0           |
|  NR_046097   |          0           |
|  NR_046088   |          0           |
|  NR_045818   |          0           |
|  NR_045791   |          0           |
|  NR_045790   |          0           |
|  NR_045789   |          0           |
|  NR_045785   |          0           |
|  NR_045784   |          0           |
|  NR_045630   |          0           |
|  NR_045604   |          0           |
|  NR_045603   |          0           |
|  NR_045553   |          0           |
|  NR_045484   |          0           |
|  NR_045483   |          0           |
|  NR_045409   |          0           |
|  NR_045408   |          0           |
|  NR_045407   |          0           |
|  NR_045213   |          0           |
|  NR_045147   |          0           |
|  NR_045035   |          0           |
|  NR_045034   |          0           |
|  NR_045033   |          0           |
|  NR_040773   |          0           |
|  NR_040772   |          0           |
|  NR_040733   |          0           |
|  NR_040289   |          0           |
|  NR_040288   |          0           |
|  NR_040073   |          0           |
|  NR_040065   |          0           |
|  NR_040064   |          0           |
|  NR_040063   |          0           |
|  NR_040002   |          0           |
|  NR_039983   |          0           |
|  NR_039957   |          0           |
|  NR_039942   |          0           |
|  NR_039908   |          0           |
|  NR_039896   |          0           |
|  NR_039888   |          0           |
|  NR_039861   |          0           |
|  NR_039844   |          0           |
|  NR_039838   |          0           |
|  NR_039832   |          0           |
|  NR_039824   |          0           |
|  NR_039818   |          0           |
|  NR_039812   |          0           |
|  NR_039798   |          0           |
|  NR_039775   |          0           |
|  NR_039768   |          0           |
|  NR_039659   |          0           |
|  NR_039626   |          0           |
|  NR_039625   |          0           |
|  NR_039624   |          0           |
|  NR_039623   |          0           |
|  NR_039622   |          0           |
|  NR_039621   |          0           |
|  NR_039620   |          0           |
|  NR_039619   |          0           |
|  NR_039618   |          0           |
|  NR_039617   |          0           |
|  NR_039616   |          0           |
|  NR_039615   |          0           |
|  NR_039613   |          0           |
|  NR_039604   |          0           |
|  NR_038953   |          0           |
|  NR_038934   |          0           |
|  NR_038928   |          0           |
|  NR_038914   |          0           |
|  NR_038869   |          0           |
|  NR_038856   |          0           |
|  NR_038849   |          0           |
|  NR_038846   |          0           |
|  NR_038845   |          0           |
|  NR_038842   |          0           |
|  NR_038426   |          0           |
|  NR_038425   |          0           |
|  NR_038424   |          0           |
|  NR_038423   |          0           |
